Title,Category,Sub-category,Post Text,URL
Amazon Label Scanner,Fulfillment By Amazon,Fulfillment By Amazon,"I am trying to check my Amazon FBA labels using the camera in the Seller Central app on my phone.  Once in a while the app will recognize the Amazon barcode, but more often it does not recognize with no apparent means to manually cross reference with my product.  I am in the process of formally labeling all of my packaging using the Amazon barcode, but I’m not comfortable going to print with thousands of new packages until I’m absolutely sure the Amazon barcode is correct and works to call on the right item.  Does anyone have any suggestions on how to manage the app, or alternatives to check my Amazon barcode?Thank you!",https://sellercentral.amazon.com/forums/t/amazon-label-scanner/646305
6 Weeks from Delivered to Checked-in (Canada),Fulfillment By Amazon,General FBA Questions,"Anyone here experiencing really long check-ins, particularly at the Brampton warehouse? Been waiting for 6 weeks since our inventory was accepted there and its still not checked in or received…",https://sellercentral.amazon.com/forums/t/6-weeks-from-delivered-to-checked-in-canada/646308
Wrong Items Fulfilled,Fulfillment By Amazon,FBA Orders and Customer Service,"I have been selling here for just over 6 months, I do strictly FBA and I only buy from distributors. One of my listings was deactivated the other day due to a high amount of negative reviews. I checked it out, and 100% of the complaints were “wrong item sent.”After doing some more digging, I saw that a few other items were getting mixed up, too. Customers are being sent other items from my inventory. It all stems from the same FBA shipment. This is not a labeling error on my part - all items come with manufacturer label. (I do commingle, I understand I should change this - could that be the issue here? They are still items from my own inventory that are being sent, just the wrong item.) Not only do they have manufacturer barcodes, but these particular items are prepped and sent to Amazon by me, and I inspect each item. They were also all checked in and received properly.The only thing I can think is that this is a fulfillment issue. I find it highly unlikely (but I guess not impossible) that the distributor sent mislabeled items and that it somehow made it past me during prep. Still, should I recall these items for inspection and then resend them for fulfillment? I reactivated the listing because it is a big seller, but I don’t want to lose these listings if any other issues arise. I’ve opened a case but I’m not sure what I should do in the meantime.",https://sellercentral.amazon.com/forums/t/wrong-items-fulfilled/643954
Product Relabeled,Fulfillment By Amazon,General FBA Questions,"I sent in a box of items, all the correct count of each product. FBA marked all items as received under one product. So I had no inventory for most of the shipment, and extra inventory for the one product they put it under.I requested them all back, and found they had put new labels over my original labels, all for the product they marked as received.Any thoughts on why they would do this, and how to avoid it in the future?",https://sellercentral.amazon.com/forums/t/product-relabeled/476001
IND9 check-in taking ages,Fulfillment By Amazon,Shipping Inventory to Amazon,"I’ve sent 40 cartons to IND9 using UPS. They were delivered on May 15th. So far, only 2 cartons were checked-in.Anyone experiencing the same delays at IND9? As of last week, it was running smoothly and all my inventory was checked-in the same day.",https://sellercentral.amazon.com/forums/t/ind9-check-in-taking-ages/631340
FBA Merchandise Marked as Expired in ERROR then disposed!,Fulfillment By Amazon,Fulfillment By Amazon,"Well my absolute nightmare scenario occurred over the last week and I am absolutely LIVID about it! I have a single product I sell on amazon in the pet space. The product has a 2 year shelf life. I sell a small but steady amount of it daily on amazon via FBA. Around last Wednesday I started to notice my sales went from the normal 5-10 units a day to 0. On the first day I chalked it off as a fluke. On day 2 I decided to dig a bit deeper. It turns out Amazon INCORRECTLY flagged all 430 units I had in their warehouses as expired. This is simply NOT POSSIBLE given this inventory was only manufactured several months ago and has a 2 year shelf life. OCTOBER 2021 expiration date to be exact.Immediately I opened a case. It took 3 attempts to even get through to someone who spoke fluent english because the first 2 attempts were routed to who knows what country to people who not only were unable to communicate with me verbally but they must have been talking from dial up modems because there phone connection was terrible.On the 3rd attempt I was routed to someone here in the US. The person on the phone said that the system applying an “incorrect expiration” are a known issue on the platform and they were going to put an immediate request to have the units manually inspected for the correct expiration dates and once verified, they would be put back into my active inventory. This was on Friday of last week.Today I get a message from the open case that was created from the inbound call that there is nothing I can do to get the inventory put back to active since there is already a open disposal order.I log into my dashboard and I see that amazon has ALREADY DISPOSED OF 280 perfectly good sellable units of my inventory WITHOUT MY CONSENT OR ANY NOTIFICATION whatsoever. All this while not 1 but 2 open cases on this exact subject were open.I am not an attorney but I can not possibly fathom that this type of practice could be LEGAL ANYWHERE. I am absolutely livid! I have no idea what to do or who can help me but I just got royally screwed and I need some advice… PLEASE HELP!",https://sellercentral.amazon.com/forums/t/fba-merchandise-marked-as-expired-in-error-then-disposed/645639
Contents missing from recent shipments to FTW1,Fulfillment By Amazon,Fulfillment By Amazon,"Anyone else having lots of units / boxes going missing at FTW1 over the past few weeks?I’ve sent in 10 multi-box shipments to FTW1 over the past few weeks, and in those 40 boxes total there have been serious problems with at least 6 of them – 5 checked in but no goods received and 1 that had only 2 out of 60 in the box received.In the past problems have been quite low as a percentage of shipments, but as of late it has been very concerning. To make it worse, a few of the shipping plans are showing as “investigated” and there are no options for me to appeal.I am hoping that these boxes will magically reappear in the coming days or weeks, and am wondering if anyone else is experiencing something similar, and if your boxes or items are being found on their own.",https://sellercentral.amazon.com/forums/t/contents-missing-from-recent-shipments-to-ftw1/604170
How long does it take to receive removal orders nowadays?,Fulfillment By Amazon,Fulfillment By Amazon,How long does it take to receive removal orders nowadays?Seems like a few months ago it was waaaay faster…,https://sellercentral.amazon.com/forums/t/how-long-does-it-take-to-receive-removal-orders-nowadays/646161
List of Amazon Preferred Partner Program LTL Carriers,Fulfillment By Amazon,General FBA Questions,Does anybody have a list of Amazon Preferred Partner LTL Carriers for inbound FBA inventory?,https://sellercentral.amazon.com/forums/t/list-of-amazon-preferred-partner-program-ltl-carriers/646120
IPI Score Question,Fulfillment By Amazon,Fulfillment By Amazon,"Hi,i have a question regarding the Inventory Performance Index, my score is currently at 477 and i have unlimited storage at FBA as of now, my question is, at what score do we sellers lose the unlimited storage capacity ??..also, what happens if we ever go to zero, is that possible ?thanks in advance",https://sellercentral.amazon.com/forums/t/ipi-score-question/645927
Inventory checking in delay - 2020,Fulfillment By Amazon,Shipping Inventory to Amazon,"Hi, i was wondering if anyone else is experiencing a slow down in inventory check-in bound ? UPS says it’s landed but it’s been 3-4 days already",https://sellercentral.amazon.com/forums/t/inventory-checking-in-delay-2020/639798
Monthly subscription fee reimbursement,Fulfillment By Amazon,Fulfillment By Amazon,"Hello Team, I need your advice on this… my first shipments are on their way to the warehouses, however, I have not active listings prior next week (hopefully) and I want to request reimbursement upon the subscription fees from Amazon for the months I was inactive… so is it 100% fine to ask for reimbursement or will there be any negative effects on my seller account such as negative scoring or anything else?",https://sellercentral.amazon.com/forums/t/monthly-subscription-fee-reimbursement/645882
FBA Inventory Shipment Delivered but not Recieved,Fulfillment By Amazon,Shipping Inventory to Amazon,"I sent FBA inventory and it was marked delivered a week ago, however, the shipment has not been received and the items are not in my inventory.  On all of my past shipments, the items are processed within a day or 2.  This was my first shipment with “Small & Light” items, so I’m not sure if that had something to do with it…",https://sellercentral.amazon.com/forums/t/fba-inventory-shipment-delivered-but-not-recieved/439780
Inventory shipped to FTW1 (Dallas) stuck in Delivered stage for 18 days,Fulfillment By Amazon,General FBA Questions,"Inventory (1 box) was shipped to FTW1 (Dallas) on 4/27/2020 and delivered on 4/28/2020.It has now been 18 days since delivery and still no sign of the shipment moving into Received stage.  The earliest I can reconcile this shipment is May 23 2020.   I’m aware of delays due to COVID-19 , but is this a reasonable time frame?– normal shipments take up to 4 days to move from delivered to receiving stage.",https://sellercentral.amazon.com/forums/t/inventory-shipped-to-ftw1-dallas-stuck-in-delivered-stage-for-18-days/629417
How to get shipping costs for a bunch of inbound FBA shipments?,Fulfillment By Amazon,Shipping Inventory to Amazon,"We are doing an audit of our shipping costs for a regular check-up on our account, however one major problem is that I can’t seem to find a way to export our shipping costs if I put in a shipping plan ID.Can anyone provide information on this?",https://sellercentral.amazon.com/forums/t/how-to-get-shipping-costs-for-a-bunch-of-inbound-fba-shipments/645781
Question : AMAZONE’s packing service,Fulfillment By Amazon,FBA Orders and Customer Service,"Q1. If we send our products(hats) in individual packaging type to FBA, is it possible to pack with box not poly bag for sending a product to customer.Hello.I’m a seller to sell hats in Korea. nowadays We are preparing to sell our hats at AMAZONE through FBA.so, few days ago we tried to buy a hat at AMAZONE(FBA) as a test. then we was shocked with the hat’s packing condition.We are packing hats with boxed in Korea. but the hat which we bought at AMAZON was packed with only polybag not box. actually it is easy for hat to be damaged. that’s why so we are packing only hats with boxesTherefore, I want our products to be shipped in boxed packaging to FBA, but it is difficult because the boxed condition is bulky and expensive.because of the reason, probably we will send our products in individual products packing type. is there any solution to solve this problem? please help and advise usthank you",https://sellercentral.amazon.com/forums/t/question-amazones-packing-service/645708
Advertising: new pages failing?,Fulfillment By Amazon,Shipping Inventory to Amazon,"I can’t get an individual Ad Group page content, keeps coming up blank. Worlked this morning. I can see impressions and clicks adding up under the Campaign page (sometimes), but no Ad Group details at all. Is Amazon aware of the problem, or is it just me?",https://sellercentral.amazon.com/forums/t/advertising-new-pages-failing/645715
"FBA CLT2 Warehouse, Goods delivered on Friday = You never see your goods any more",Fulfillment By Amazon,Fulfillment By Amazon,"my FBA warehouse is basically CLT2 Charlotte, and it’s working fine until this June.ALL my goods delivered on Friday by UPS was gone, they completely disappeared and no one knows where they are. my goods deliveried on tuesday was received within a day, but the others were gone.i don’t know what to do, i don’t know who i should blame, UPS or CLT2. whenever i ask the seller support they told me to wait. But these goods are a lot, it’s a good amount of goods and it means a lot to me.help!!!",https://sellercentral.amazon.com/forums/t/fba-clt2-warehouse-goods-delivered-on-friday-you-never-see-your-goods-any-more/645678
