URL,Response Text
https://sellercentral.amazon.com/forums/t/amazon-label-scanner/646305,"DaDude:until I’m absolutely sure the Amazon barcode is correct and works to call on the right item.The barcodes are provided by amazon, so they are correct.If still not convinced…get a hand held scanner."
https://sellercentral.amazon.com/forums/t/amazon-label-scanner/646305,"Everyone should test their labels. Change a printer, test. Change a to new label stock, test.There are barcode scanner apps for your phone. It just needs to tell you what the text states.Oh, and by the way, I assume by Amazon barcode you FNSKU."
https://sellercentral.amazon.com/forums/t/wrong-items-fulfilled/643954,"Once you commingle, you never know what sellers product is being sent."
https://sellercentral.amazon.com/forums/t/wrong-items-fulfilled/643954,I am the only FBA seller for these.
https://sellercentral.amazon.com/forums/t/wrong-items-fulfilled/643954,Then you need to request a bin check
https://sellercentral.amazon.com/forums/t/wrong-items-fulfilled/643954,Thank you so much!! I didn’t know that was a thing!! I will do that.
https://sellercentral.amazon.com/forums/t/wrong-items-fulfilled/643954,"Did you have any returns of these items ?My advice…don’t ask for bin check…remove them, inspect them and reship to FBA as noncomingled."
https://sellercentral.amazon.com/forums/t/wrong-items-fulfilled/643954,"Yes, I’ve had quite a few returns. I will definitely label each item myself going forward, but how would commingling be the issue here if I am the only FBA seller and they are simply mixing up items from my own inventory? It appears to stem all from the same shipment. I also plan to not only do the labeling myself but only ship one ASIN per FBA shipment in the future.I have closed the listings and if Amazon hasn’t helped resolve this within the next couple of days, I will absolutely take your advice and do a removal order. Thank you for your help!"
https://sellercentral.amazon.com/forums/t/wrong-items-fulfilled/643954,Cleared_Chakras:but how would commingling be the issue here if I am the only FBA seller and they are simply mixing up items from my own inventory?Just one possibility…someday other sellers will sell the same item.
https://sellercentral.amazon.com/forums/t/product-relabeled/476001,I’ve had this same issue and have no clue why it is happening. I’ve had to recall several shipments because of this. It’s really frustrating.
https://sellercentral.amazon.com/forums/t/product-relabeled/476001,I’ve experienced the same problem. The labels that were on the box were different wording and shape of the ones that I had placed on the box. I have no idea why they would do this. So frustrating.
https://sellercentral.amazon.com/forums/t/product-relabeled/476001,Just wondering if anyone has figured anything out? I am dealing with the same issue.
https://sellercentral.amazon.com/forums/t/product-relabeled/476001,"(post withdrawn by author, will be automatically deleted in 24 hours unless flagged)"
https://sellercentral.amazon.com/forums/t/ind9-check-in-taking-ages/631340,"Same. Normally this site is 1-2 days, seriously they are quick! But last shipment sat for over a week."
https://sellercentral.amazon.com/forums/t/ind9-check-in-taking-ages/631340,Glad to know I am not the only one. I noticed another thing: DHL shipments are processed within 1-3 hours of delivery while UPS ones take days
https://sellercentral.amazon.com/forums/t/ind9-check-in-taking-ages/631340,"UPS Ground partnered shipments are taking an extra day or two to get to IND9, and receiving is slower now than it was 2 months ago."
https://sellercentral.amazon.com/forums/t/ind9-check-in-taking-ages/631340,Inventory Sent by UPS(not purchased through Amazon) checked in after 5 days. Another shipment was delivered by DHL today was checked in within few hours of delivery
