Title,Category,Sub-category,Post Text,URL
Testing requirements in toys and games category,Amazon Custom,Amazon Custom Forum,"My product is domino sets for adults. I am the exclusive branded seller of these. I have had several ASINs “yanked” and this is because since the products are in the toys and games category, Amazon wants certain test reports which are applicable to toys. However, my products are not toys and so not subject to testing. Amazon’s website says testing is required for toys intended for children 12 and under. Mine are not. I haven’t been able to get Amazon to reason this out or explain it to me. They just keep repeating “get the testing reports.” Can anyone provide guidance?",https://sellercentral.amazon.com/forums/t/testing-requirements-in-toys-and-games-category/644585
Food and Drug Administration,Amazon Custom,Amazon Custom,"Hello, I am on my way to becoming an Amazon dealer. My account has been closed for a short time, but I will start selling soon. My products that I will send my food products are waiting ready, but I am in the process of issuing the FDA (Food and Drug Administration) document. How should I proceed in this process?",https://sellercentral.amazon.com/forums/t/food-and-drug-administration/644036
Images Storage for mass upload,Amazon Custom,Amazon Custom,When uploading products with the spreadsheet what have you found is the best web based storage location for your images that will help protect theft of intellectual property? Right now we are loading one at a time from an FTP server and that is very slow going.,https://sellercentral.amazon.com/forums/t/images-storage-for-mass-upload/643126
Prepaid Return Label program email clarification,Amazon Custom,Amazon Custom Forum,"You may have received an email from Amazon informing you that you are required to participate in Amazon’s Prepaid Return label program; however, Amazon Handmade and Amazon Custom programs are exempt from this requirement, as documented in this Seller Central help topic: https://sellercentral.amazon.com/gp/help/202072200 12 If you have any listings outside of the Handmade and Custom categories, those items will be subject to the requirements described in the Prepaid Return Label program email.",https://sellercentral.amazon.com/forums/t/prepaid-return-label-program-email-clarification/632758
Pulling Amazon Custom Personalizatoin Data from Orders into Excel or CSV File,Amazon Custom,Amazon Custom Forum,"The problem: Currently Amazon gives you links to the custom data in the customer order report that you have to go to to manually pull for each and every order. In our excel file, it is column AP with the custom data link. The question: How can we pull the Amazon Custom Personalization data directly into an excel file for our designer to use to create the personalized custom products without have to go through each order row (i.e. Custom order) and click on the personalization links in column AP? Does anyone know a programmer who can do this so it automatically does it daily when we log in? Thanks in advance!",https://sellercentral.amazon.com/forums/t/pulling-amazon-custom-personalizatoin-data-from-orders-into-excel-or-csv-file/396539
Customizable products what brand name should be used?,Amazon Custom,Amazon Custom,"Hi there new seller here, i am trying to list a item to sell that i bought wholesale and customizing and reselling but i am having severe listing problems, if i put in the original company name by brand then i get this error You are using UPCs, EANs, ISBNs, ASINs, or JAN codes that do not match the products you are trying to list. If you believe you have reached this message in error, please contact Seller Support. and if i put in my own username by brand i get this message Amazon must approve your brand before you can use it to list products. Brands should be registered through Brand Registry, but if your brand is not eligible for Brand Registry, you can obtain an exception by contacting Seller Support and mentioning error code 5665. When contacting Seller Support, provide the following information: - The brand name used when creating the listing. - Images of the product and packaging, showing branding on either. The images can show the product and packaging held in hand, or placed on a table. The branding must be permanently affixed. - If using inventory file templates, please also provide the Batch ID of the inventory file process report. For more information, please review our Brand Name Policy. should i be contacting Seller Support and mentioning error code 5665 or is that for something else?",https://sellercentral.amazon.com/forums/t/customizable-products-what-brand-name-should-be-used/591660
Make product desription look good with pictures,Amazon Custom,Amazon Custom Forum,How do I go about add pictures and make my product description look fancy like other listings I have seen on Amazon.,https://sellercentral.amazon.com/forums/t/make-product-desription-look-good-with-pictures/627199
Returnless refund auto-issued for customized product with reason “Better price available”,Amazon Custom,Amazon Custom,I sell customized products with buyer’s name printed on the surface. One customer requested a returnless refund because of “Better price available”. He now has the product and the money. I lost the item and the money and paid Amazon a refund administration fee. Please help is there anything I can do about this? Any advice is appreciated. Thank you very much!,https://sellercentral.amazon.com/forums/t/returnless-refund-auto-issued-for-customized-product-with-reason-better-price-available/625131
Amazon did not pay,Amazon Custom,Amazon Custom Forum,"Amazon did not pay for an item I shipped. There was a problem with their site that I do not normally encounter by not allowing USPS Media mail or Bound Printed Matter. Only gave UPS options. I processed the item (printed packing slip) without using Amazon mail option, went to USPS and mailed the item myself Media Mail. I then confirmed shipment by putting information in the system with tracking number and all info. I did not get paid for that item by Amazon even though it was already received by purchaser. What should I do?",https://sellercentral.amazon.com/forums/t/amazon-did-not-pay/635548
Upload Template for Custom - where to download?,Amazon Custom,Amazon Custom,Maybe it’s right in front of me but I cannot find how to do the upload for amazon custom - specifically doing wall decals. I’m trying to figure out how to upload the custom “color choices” as options. Can anyone point me in the right direction?,https://sellercentral.amazon.com/forums/t/upload-template-for-custom-where-to-download/632864
Total BS! Listing removed for being used and sold as new,Amazon Custom,Amazon Custom Forum,"I’m the owner, manufacturer and sole distributor of my own line of Christmas ornaments that are personalized by hand. Without any evidence what so ever, a customer filed a complaint that I was selling an item as used when in FACT it is brand new! Now I’m being told to file a POA for something that isn’t even true! And we all understand that this is time consuming, and frankly speaking a waste of my time all while losing potential sales. I’ve sold over 80,000 products on amazon and never had this type of complaint. The FACT that a customer can make a complaint with zero evidence and thus have my listing deactivated is total BS! To make this even more a total load of BS, after filing a POA with detail, photos and invoices, Amazon is asking for us to file a more detailed POA. I’ve read enough forums about this same complaint. So I know it’s not just me. How can we as sellers stop this from happening over and over to sellers that have done nothing wrong? Legal action? Or do I just except the fact they have me bent over a barrel, helpless with no recourse? Ideas, thoughts?",https://sellercentral.amazon.com/forums/t/total-bs-listing-removed-for-being-used-and-sold-as-new/533346
New Custom Seller Listing Experience: Live?,Amazon Custom,Amazon Custom,"I got an email on Monday announcing that some changes to the custom listing options were now live. The changes include more input fields and more surfaces, but I dont see a difference in the interface and cant add extra surfaces or text inputs. Has anyone been able access the new custom listing features? What am I missing?",https://sellercentral.amazon.com/forums/t/new-custom-seller-listing-experience-live/621921
Unable to use Amazon Custom in Amazon Handmade,Amazon Custom,Amazon Custom Forum,"Hello, I’m a seller on Amazon Handmade and registered for Amazon Custom yesterday and was approved. When I go into my listing and try to enable customization I get this message. Amazon Custom features are not currently available for products listed in this category. To view and edit this listing using the customization features available to ‘Amazon Handmade’ products, please click [here.] Why would this happen? It is for garden flags for the customer to upload their own pictures. I see other listings with this capability, what am I doing wrong?",https://sellercentral.amazon.com/forums/t/unable-to-use-amazon-custom-in-amazon-handmade/630547
Character Min Length,Amazon Custom,Amazon Custom Forum,"I have a large inventory on Amazon (25K+) all with customizations enabled. The import file has a column for the text field maximum character limit but doesn’t specify what the value would be for minimum character length. Does anyone know what the column value would be for this value? Otherwise, I’d have to update 25K listings 1-by-1 manually. Thanks for any help.",https://sellercentral.amazon.com/forums/t/character-min-length/630336
Avoid giving font and color options via file upload?,Amazon Custom,Amazon Custom,"With the NEW customizer that rolled out last week, if you specify a text box, the system makes you choose a font and color with it that is then displayed to the customer. I do offer text, but currently do not offer choices of font or color, and it really mucks up the page. Does anyone know if importing the customizations via upload file, does that system also force you to display font and color options to the customer? I know the WYSIWYG editor and file upload many times has different unique things available to each. I have never done customizations via upload file, but it would be worth the learning curve if I could avoid showing font and color multiple times over for something that doesn’t even offer font and color options.",https://sellercentral.amazon.com/forums/t/avoid-giving-font-and-color-options-via-file-upload/628395
USPS isnt showing up,Amazon Custom,Amazon Custom,is aniyone else having issues processing their FBM orders/ USPS isnt even showing up . only fedex,https://sellercentral.amazon.com/forums/t/usps-isnt-showing-up/623197
Efficient way to add Color for the custom text?,Amazon Custom,Amazon Custom Forum,Hi i was wondering if anyone knows a efficient way to add on the custom text colors before i begin to brute force my way through 40 colors on 20 child listings,https://sellercentral.amazon.com/forums/t/efficient-way-to-add-color-for-the-custom-text/622618
How to Close Personalized Item Return Request,Amazon Custom,Amazon Custom,"Our company sells cremation urns here on Amazon, many of which are personalized. One of our customers ordered a personalized urn and has opened a return request because she purchased the incorrect size. The reason for the return is listed as “No Longer Needed”. I know it’s within Amazon’s Policies not to refund her for the item because there was no late delivery, defects, etc. but when I try to close the request, the none of the reasons listed for why the request is being closed have to do with personalized products. Any advice on which option would be most relevant?",https://sellercentral.amazon.com/forums/t/how-to-close-personalized-item-return-request/565771
Fonts for Embriodery,Amazon Custom,Amazon Custom Forum,where can I purchase embroidering fonts in a WOFF format on a installable ttf format. to add a font Amazon wants us to upload fonts in a WOFF or installable ttf format but I am not able to find machine Embriodery font in this format. Please help,https://sellercentral.amazon.com/forums/t/fonts-for-embriodery/590342
Customers dont replied to my emails,Amazon Custom,Amazon Custom Forum,I make custom dog tags and customers need to send me their’s dog info so I can make it but I already have like 9 order and someone the shipment is already late but I have no way to make it and I’ve send multiple emails to the buyers. I don’t know what to do.,https://sellercentral.amazon.com/forums/t/customers-dont-replied-to-my-emails/614444
WFMOA shopper,Amazon Custom,Amazon Custom Forum,trying to create a seller central account as a Whole Foods team member for performance reports. Have been redirected to a seller account. How can I get to the correct sight?,https://sellercentral.amazon.com/forums/t/wfmoa-shopper/608837
