URL,Response Text
https://sellercentral.amazon.com/forums/t/images-storage-for-mass-upload/643126,"I’m confused. The spreadsheet simply points to the online file, and then Amazon sucks it in. You should be mass uploading your files to an online directory, and then your spreadsheet points to those files."
https://sellercentral.amazon.com/forums/t/prepaid-return-label-program-email-clarification/632758,Will I have the ability to add my RMA number to the shipping label?
https://sellercentral.amazon.com/forums/t/prepaid-return-label-program-email-clarification/632758,The option will remain as it currently is
https://sellercentral.amazon.com/forums/t/prepaid-return-label-program-email-clarification/632758,"Were based in the UK and sell mostly low value goods, so the cost of a return is more than the value of the goods. So we normaly refund and advise they keep the goods, so a auto return would not be any good for us (and im sure lots of sellers will be the same)."
https://sellercentral.amazon.com/forums/t/pulling-amazon-custom-personalizatoin-data-from-orders-into-excel-or-csv-file/396539,We have the same issue and are very surprised nobody on the Amazon Customization team can help. Were you able to figure this out? Thanks for any info. you can share!
https://sellercentral.amazon.com/forums/t/pulling-amazon-custom-personalizatoin-data-from-orders-into-excel-or-csv-file/396539,has anyone figured this out?
https://sellercentral.amazon.com/forums/t/pulling-amazon-custom-personalizatoin-data-from-orders-into-excel-or-csv-file/396539,there is someone on this forum who had someone write her a program that then worked with shipstation. I think their post was from a couple of years ago. You can probably search this forum and find it.
https://sellercentral.amazon.com/forums/t/pulling-amazon-custom-personalizatoin-data-from-orders-into-excel-or-csv-file/396539,Anything on this?
https://sellercentral.amazon.com/forums/t/pulling-amazon-custom-personalizatoin-data-from-orders-into-excel-or-csv-file/396539,"I’ve done some work on a similar project to this. Everyone’s business is different, but if anyone wants to PM me I will try to help / point you in the right direction."
https://sellercentral.amazon.com/forums/t/pulling-amazon-custom-personalizatoin-data-from-orders-into-excel-or-csv-file/396539,"I have a programmer who coded a php server to connect to Amazon and then downloads the customization to a database. I do not monitor this forum often so if you want to PM me for his name, I will be happy to pass it on."
https://sellercentral.amazon.com/forums/t/pulling-amazon-custom-personalizatoin-data-from-orders-into-excel-or-csv-file/396539,"We stopped using shipstation which was hard because it’s a very good platform and started using a company called “ShippingEasy”. They are able to take in the customize now data, and you get it crammed into one cell. We than export our orders, and we have a google sheet that can parse the customize now data into seperate cells. This works really well"
https://sellercentral.amazon.com/forums/t/pulling-amazon-custom-personalizatoin-data-from-orders-into-excel-or-csv-file/396539,Does anyone know of a solution that brings down the personalization by simply hitting the “Update all Stores” button in Shipstation? There should be a way to make this happen without having to mess around with .txt files or .csv files! I think they have to modify the API - and go grab the personalization field and then populate it in a field on the shipstation order. We get over 200 personalized orders per day from Amazon - most all of them PRIME. We download orders from Amazon about every 10 minutes! Doing some additional process that involves .csv’s is not a viable option for us.
