,Title,Post Text,Category
0,Testing requirements in toys and games category,"My product is domino sets for adults. I am the exclusive branded seller of these. I have had several ASINs “yanked” and this is because since the products are in the toys and games category, Amazon wants certain test reports which are applicable to toys. However, my products are not toys and so not subject to testing. Amazon’s website says testing is required for toys intended for children 12 and under. Mine are not. I haven’t been able to get Amazon to reason this out or explain it to me. They just keep repeating “get the testing reports.” Can anyone provide guidance?",Amazon Custom
1,Food and Drug Administration,"Hello, I am on my way to becoming an Amazon dealer. My account has been closed for a short time, but I will start selling soon. My products that I will send my food products are waiting ready, but I am in the process of issuing the FDA (Food and Drug Administration) document. How should I proceed in this process?",Amazon Custom
2,Images Storage for mass upload,When uploading products with the spreadsheet what have you found is the best web based storage location for your images that will help protect theft of intellectual property? Right now we are loading one at a time from an FTP server and that is very slow going.,Amazon Custom
3,Prepaid Return Label program email clarification,"You may have received an email from Amazon informing you that you are required to participate in Amazon’s Prepaid Return label program; however, Amazon Handmade and Amazon Custom programs are exempt from this requirement, as documented in this Seller Central help topic: https://sellercentral.amazon.com/gp/help/202072200 12 If you have any listings outside of the Handmade and Custom categories, those items will be subject to the requirements described in the Prepaid Return Label program email.",Amazon Custom
4,Pulling Amazon Custom Personalizatoin Data from Orders into Excel or CSV File,"The problem: Currently Amazon gives you links to the custom data in the customer order report that you have to go to to manually pull for each and every order. In our excel file, it is column AP with the custom data link. The question: How can we pull the Amazon Custom Personalization data directly into an excel file for our designer to use to create the personalized custom products without have to go through each order row (i.e. Custom order) and click on the personalization links in column AP? Does anyone know a programmer who can do this so it automatically does it daily when we log in? Thanks in advance!",Amazon Custom
5,Customizable products what brand name should be used?,"Hi there new seller here, i am trying to list a item to sell that i bought wholesale and customizing and reselling but i am having severe listing problems, if i put in the original company name by brand then i get this error You are using UPCs, EANs, ISBNs, ASINs, or JAN codes that do not match the products you are trying to list. If you believe you have reached this message in error, please contact Seller Support. and if i put in my own username by brand i get this message Amazon must approve your brand before you can use it to list products. Brands should be registered through Brand Registry, but if your brand is not eligible for Brand Registry, you can obtain an exception by contacting Seller Support and mentioning error code 5665. When contacting Seller Support, provide the following information: - The brand name used when creating the listing. - Images of the product and packaging, showing branding on either. The images can show the product and packaging held in hand, or placed on a table. The branding must be permanently affixed. - If using inventory file templates, please also provide the Batch ID of the inventory file process report. For more information, please review our Brand Name Policy. should i be contacting Seller Support and mentioning error code 5665 or is that for something else?",Amazon Custom
6,Make product desription look good with pictures,How do I go about add pictures and make my product description look fancy like other listings I have seen on Amazon.,Amazon Custom
7,Returnless refund auto-issued for customized product with reason “Better price available”,I sell customized products with buyer’s name printed on the surface. One customer requested a returnless refund because of “Better price available”. He now has the product and the money. I lost the item and the money and paid Amazon a refund administration fee. Please help is there anything I can do about this? Any advice is appreciated. Thank you very much!,Amazon Custom
8,Amazon did not pay,"Amazon did not pay for an item I shipped. There was a problem with their site that I do not normally encounter by not allowing USPS Media mail or Bound Printed Matter. Only gave UPS options. I processed the item (printed packing slip) without using Amazon mail option, went to USPS and mailed the item myself Media Mail. I then confirmed shipment by putting information in the system with tracking number and all info. I did not get paid for that item by Amazon even though it was already received by purchaser. What should I do?",Amazon Custom
9,Upload Template for Custom - where to download?,Maybe it’s right in front of me but I cannot find how to do the upload for amazon custom - specifically doing wall decals. I’m trying to figure out how to upload the custom “color choices” as options. Can anyone point me in the right direction?,Amazon Custom
10,Total BS! Listing removed for being used and sold as new,"I’m the owner, manufacturer and sole distributor of my own line of Christmas ornaments that are personalized by hand. Without any evidence what so ever, a customer filed a complaint that I was selling an item as used when in FACT it is brand new! Now I’m being told to file a POA for something that isn’t even true! And we all understand that this is time consuming, and frankly speaking a waste of my time all while losing potential sales. I’ve sold over 80,000 products on amazon and never had this type of complaint. The FACT that a customer can make a complaint with zero evidence and thus have my listing deactivated is total BS! To make this even more a total load of BS, after filing a POA with detail, photos and invoices, Amazon is asking for us to file a more detailed POA. I’ve read enough forums about this same complaint. So I know it’s not just me. How can we as sellers stop this from happening over and over to sellers that have done nothing wrong? Legal action? Or do I just except the fact they have me bent over a barrel, helpless with no recourse? Ideas, thoughts?",Amazon Custom
11,New Custom Seller Listing Experience: Live?,"I got an email on Monday announcing that some changes to the custom listing options were now live. The changes include more input fields and more surfaces, but I dont see a difference in the interface and cant add extra surfaces or text inputs. Has anyone been able access the new custom listing features? What am I missing?",Amazon Custom
12,Unable to use Amazon Custom in Amazon Handmade,"Hello, I’m a seller on Amazon Handmade and registered for Amazon Custom yesterday and was approved. When I go into my listing and try to enable customization I get this message. Amazon Custom features are not currently available for products listed in this category. To view and edit this listing using the customization features available to ‘Amazon Handmade’ products, please click [here.] Why would this happen? It is for garden flags for the customer to upload their own pictures. I see other listings with this capability, what am I doing wrong?",Amazon Custom
13,Character Min Length,"I have a large inventory on Amazon (25K+) all with customizations enabled. The import file has a column for the text field maximum character limit but doesn’t specify what the value would be for minimum character length. Does anyone know what the column value would be for this value? Otherwise, I’d have to update 25K listings 1-by-1 manually. Thanks for any help.",Amazon Custom
